Metabolon_Metabolite_ID,HARV_21560,HARV_21561,HARV_21562,HARV_21563,HARV_21564,HARV_21565,HARV_21566,HARV_21567,HARV_21568,HARV_21569,HARV_21570,HARV_21571,HARV_21572,HARV_21573,HARV_21574,HARV_21575,HARV_21576,HARV_21577,HARV_21578,HARV_21579,HARV_21580,HARV_21581,HARV_21582,HARV_21583,HARV_21584,HARV_21585,HARV_21586,HARV_21587,HARV_21588,HARV_21589,HARV_21590,HARV_21591,HARV_21592,HARV_21593,HARV_21594,HARV_21595,HARV_21596,HARV_21597,HARV_21598,HARV_21599,HARV_21600,HARV_21601,HARV_21602,HARV_21603,HARV_21604,HARV_21605,HARV_21606,HARV_21607
593,,,,773002,,490162,716138,,630597,,,,,,,,,,1447110,89467,1747727,1681274,,1626568,,,,,987691,,,935034,,,,,,,,,,,86246,1770929,98366,157143,1839851,
594,,,,506194,,364905,502422,,424458,,,,,,,,,,1193075,47674,1319126,1330079,43627,1561478,,,,,467285,,,718252,,,,,,,,,,,75093,1326896,71309,,1047295,36798
588,244526,253777,,29057852,10210316,25781976,30020672,12204481,25533458,,,,94606,,,,59785,,25916676,8237207,29331096,24548740,10263327,28505080,253043,,,11841343,38319032,14190364,10481020,33700648,13013790,,,,87467,,56183,77564,,68766,14731695,27887044,10750910,10594197,25161810,10973790
591,,,,1111743,187497,857834,985882,159539,905557,,70173,,62676,,54929,81154,,107381,1474438,111822,1686367,1610560,129695,1846278,,,,167171,1141557,158135,,1364253,177573,82062,,,,112205,,,95472,,192141,1889527,,187074,1721841,129222
592,,,,558665,,427180,573833,,594396,,,,,,,,,,965213,88272,946087,1095461,84687,1260975,,,,59456,646827,73312,,661642,,,,,,,,,,,145620,1131797,,82524,1164203,
595,,,,3473625,673140,2891015,3622602,846639,2629333,,,,,,,,,,3838660,1385987,2667263,3611988,1578436,3260411,,,,778681,2433323,825214,763630,3830901,931996,,,,,,,,,,2141174,4684848,1769459,2029427,3758337,1906924
597,,,,1863839,154723,1408020,2068378,153666,2091688,,,,,,,,,,3758390,123476,3704614,4664879,103423,4585686,,,,146807,2058231,178844,141343,2295199,158951,,,,,,,,,,126849,4411849,108342,119265,4687753,123084
600,,,,1630233,376571,1257567,1617412,425309,1552911,,,,,,,,,,2571128,266402,2420451,2679990,266464,3173353,,,,301360,1847074,374232,421062,2111163,425118,,,,,,,49636,,,451629,2747910,309220,393471,2944574,235892
5194,2245037,1522680,,3334621,255072,3509237,1666980,609115,1041635,1718299,2442302,,1863313,,2091093,1468602,174224,2149894,1841108,137337,2222346,1604184,132524,1975195,1793201,,,207580,2565513,182172,267686,5682802,356194,1763371,,,142355,4488365,84333,,1517266,147409,210698,2447274,299820,354254,3934437,309812
4615,2900935,2675477,,2959266,165567,3009237,3406953,353720,3961126,2861726,2123824,132893,3136805,142747,3024531,2493238,194370,2703908,3384230,295653,4653422,3827469,292747,3979989,2507648,,,273532,2881613,326662,236954,3032125,322308,2049056,,124825,193838,2049897,184658,201421,2644197,150113,313526,4292396,392404,376217,4283266,250757
1163,668971584,670360000,316019296,661437760,356192480,688371584,710416576,383491456,681744896,675554496,688512000,358294176,720483968,332193792,699919040,679263616,332124032,736400960,657095104,379862656,644018944,611053504,457813824,652131008,693216448,334006080,325530944,332143744,678193216,353906816,356691072,688892800,351480256,681935936,308760640,309163264,326524224,724783232,343546816,322054240,724919424,340889408,395832288,663346304,427380640,476174496,669345664,430108704
1341,,,,327258,136889,302734,304430,141367,277548,,,,,,,,,,300597,174801,277285,315625,204088,328576,,,,170024,248358,146240,165279,221116,204546,,,,,,,,,,154683,337002,192530,161445,337373,169419
42,183040992,174923040,,369733248,100520248,330314432,393748384,150363504,340827936,166341328,166958864,,177475872,12624199,176857136,133667304,18516320,160811984,438065280,131907776,634637760,542746752,131899120,556631232,181209888,76952,116782,111484808,416934656,116563408,127564600,440538432,161015328,139909264,,,24913026,144617584,15797253,14172206,165210704,19803252,151604192,598338176,189769952,189201968,521826880,150376080
51,,191967,,1528036,180150,1261414,1034404,427834,954281,,149735,165995,76757,311232,168840,125861,,,1092508,302788,984468,1043915,425887,1060544,,,199810,486601,1126779,522413,489209,882014,166458,,,47010,206924,260677,,127387,132151,338623,409977,992001,376101,,817148,327347
43,239258432,230427888,,2485716992,655492736,2511581184,2499199488,722822912,2432001536,56698260,53910328,,89707288,47836192,74018600,69714320,54014036,88755712,2200649728,517597792,2176238848,2199722496,627082048,2286247168,237893200,,,675135872,2831355648,779691776,647760576,2783529472,689609152,56273552,,,68764096,76144048,43471264,61448552,85988792,62152760,748563776,2396517120,626244480,500410752,2258751488,575168640
1589,153152,101451,,111041,109803,,101080,70920,123703,89448,,,,,,90601,,,323967,281028,229179,292646,209544,221930,,,,88760,94656,65682,51846,101654,62201,,,,50739,,91147,38860,,,226981,268555,200895,200762,289193,153875
1183,1669627,1331954,251343,1992322,454359,1925380,2064621,501862,2140248,1321423,974008,229332,1301722,256554,1184513,1095829,287633,1382246,1684987,373647,2071776,1840985,345769,2032447,1493556,308136,302324,449564,1935262,430614,450513,2031802,458479,1066663,193000,176268,338602,1051000,307324,440891,1261871,320266,387466,2095715,365104,488151,2183852,368760
2732,,,,376612,43400,229674,242084,37083,319851,,,,,,,,,,258961,160366,251469,221774,,284815,,,,131949,251701,61691,69191,283875,108929,,,,,,,,,,39715,346236,73876,62365,318697,55377
2143,,,,142529,72895,103459,119148,115487,190587,,,,,,,,,,58635,121767,72329,78676,131922,62565,,,,104705,67551,84494,114613,91290,127473,,,,,,,,,,128397,96541,115994,118425,43138,105168
2139,2288924,2100193,,8930500,5129121,6885020,7741612,5284056,9120202,750773,1129969,,1650701,1139995,1784749,1262507,744118,1661197,4325644,3901636,4713103,4239854,4364240,4627986,2232942,,,5462164,6167039,4695831,5510181,7590470,5518682,,,,1308183,1027518,1001143,,1723577,1302974,5245114,6280427,3393574,4424558,4292683,4366106
1,96893752,95591176,627300,101613968,30451428,100585304,102492704,32478738,101715224,99744696,93871160,460088,94583448,5756672,96492264,94497792,6453614,111489152,119135896,52841872,125074928,129403720,55659728,131869632,94922384,603823,454275,35457236,112081776,33096636,37942720,113614872,36098856,100258104,492632,443843,7444116,103579472,5300076,6238747,109449008,6675673,56421008,135000768,54464516,50108856,137934352,52101100
4348,,,,,,,,,,,,,,,,,,,685439,29245,744502,757357,25863,772273,,,,,,,,,,,,,,,,,,,24925,662296,,26386,724290,26451
481,526345,611843,,64723236,25076974,56702960,55595416,30192772,60712168,343567,316451,,410450,,447137,465812,,384998,66297976,22353568,67566624,65306792,26397684,77394056,746443,,,28498504,70707944,24015094,30112802,70151952,25326216,372550,,,,450694,,,456465,,24563332,60658532,32355076,25895654,84391064,21062160
5790,4720344064,4665134080,60340,4686660608,690789440,4685121536,4840858112,759540928,4780210688,4718116864,4587968000,82986,4567827968,266808816,4698334208,4621158912,329067648,5036967936,4887327744,456869024,4967567872,5060482048,421259744,5024034816,4823372800,65633,49417,685406336,4693406208,761740032,681371136,4939850240,775952192,4529120256,82540,83376,412202240,4796022784,260301712,319744256,4830215680,326824864,549577728,5281427456,435963200,389633824,5251132416,411985600
1421,,274613,,,291318,,344173,317972,,,326225,219810,209406,,705704,457382,,366459,258766,,424361,340247,244424,379330,,,,,,276955,352686,432298,,214060,,,,264671,,,479180,,,1005494,350252,,317339,290146
4311,576273,523790,,574655,1319086,529425,587979,1610562,637149,312263,290471,,364887,469101,298729,271934,588781,351704,319934,757279,326418,346161,797557,348289,601832,,,1299385,542477,1234162,1287185,548885,1441211,277565,,,804060,296307,510977,550808,330762,634650,898101,397525,810072,656466,392626,731964
67,52600196,51955796,,58154816,5086264,54835868,57918708,5551144,52769748,54899772,54777204,,52823288,1117861,54742868,50823944,1298024,53453112,60484924,4038420,63119444,61199864,4754546,63825296,53384608,,,5320492,59869412,5634203,5192825,62520472,5318204,50774652,,,1561124,52986500,874588,925841,51362584,1081454,4102798,65627048,4720155,3799204,68930432,4240926
448,845212,868786,,4348360,2494339,3082734,4023693,2458137,3264550,,332882,,339845,586486,227128,123303,737084,286767,3838946,2381759,4836342,3980093,2774982,4241841,690673,,,2523851,4528362,2482126,2609632,4543495,2554819,265147,,,802513,235029,439199,441975,,582075,2916751,4508028,3295575,2356484,3837417,2395959
3985,6614112,6749203,,5744509,573615,5724877,6022113,539379,5479333,6905879,6331958,,6721956,54705,6798758,6294143,74923,6940794,5480051,98665,6552885,5787277,112869,6097527,7171030,,,594844,5668669,535844,539016,6223975,423479,6430940,,,87980,6620972,49146,62565,7157918,82227,123894,5787498,90514,116455,6399296,109610
78,,,,41295,160304,,65463,169008,48269,,,,,,,,66003,,67777,194653,86110,71352,116979,85810,53389,,,223427,80856,181839,181874,71021,207912,,,,78261,,,,,,201409,134066,165134,129723,79125,142481
76,156770,109584,,201805,445231,105501,162687,249375,152065,,97813,,106319,105971,,,172187,212734,,474161,,163620,245910,,139399,,,298346,150187,402085,360997,151666,406719,98337,,,197694,,263280,164888,204025,199789,266773,277624,397399,365665,119507,271433
278,,,,238138,502351,,224716,555347,179723,,,,,182863,,,160881,,,221349,145359,,287291,158315,154688,,,613919,234147,508834,555084,240439,644916,,,,257245,,150242,189293,,219105,440811,104567,317864,281171,101484,281643
347,2053049984,2095760256,1712004,1671989120,550050432,1728264448,1782870528,576441984,1744975104,2128650752,2055761920,1617543,2092706944,117956240,2117760128,2135468160,133349728,2316409344,1491838336,814281088,1436421376,1619303680,875079040,1551302528,2102345472,1886813,1749787,556392448,1912043136,610292096,580710144,1890480256,545536064,2177143296,1929665,1770257,164411376,2233751808,115204720,126502176,2308036352,145026352,914376768,1693650944,1011512256,874237056,1623465472,845516608
256,64383,41048,,49158,50569,47969,36402,75744,54944,,39055,,44891,,44734,,,33784,23688,47964,,52159,,50190,,,,77297,,76149,67112,51128,53082,,,,,51393,,,,,67088,35560,,,37337,44006
252,1541977,1716340,90216,1666152,731398,1897830,1658261,779179,1607139,1717511,1630137,68917,1362884,353330,1395241,1581652,373345,1599225,1740611,490193,1682662,1715050,500625,1764442,1860941,102645,126397,858931,1744659,837372,817484,2079954,843370,1629097,88651,121795,419494,1692163,374788,343676,1496143,329453,633534,2224709,559710,601170,2016802,473023
1180,17156468,16484328,,313491392,136180000,219831632,253804704,122858024,271123968,8012522,6935983,,12514513,18677460,9436228,7663458,21186670,14482145,125296920,243140880,143931456,154280624,51749052,141690944,17948950,,,242693120,179369584,186217136,128293416,197868464,182834976,6451445,,,28094060,7841544,17582162,19822034,7597397,22220894,67170264,223796992,100179632,58769280,138168656,40464500
300,1735836032,1701109248,2215766,1322036224,331518304,1342614144,1398256768,355505696,1360017920,1772974976,1694903680,2485891,1727947264,45464984,1729161856,1652677760,48953196,1859874560,1182835840,477384160,1163217664,1313988864,556433728,1231167616,1708014208,2593268,2584722,358380672,1512172928,381762240,342552192,1450556672,333553504,1739440256,2649006,2615351,61714808,1775550080,39505148,47306764,1768504576,54176140,585193984,1344757888,682192512,533206400,1235967616,533400864
820,718409,945720,,817853,,545803,409082,,300867,612542,641995,,480836,,677881,619218,,537362,211548,,259923,250301,,508206,853182,,,,263089,,,340756,,471429,,,,213152,,,472730,,,341033,,,164602,51932
1500,8367839,8234568,,2992771,623886,2990505,3023809,780533,3628337,7667862,7595308,,7350388,477548,7731667,7419459,618682,7789697,2578224,485476,2707510,2755237,417032,2736591,9180851,,,532747,2966536,669803,674799,3171872,714388,7114336,,,561216,7198661,610550,504250,8343750,478555,,2623822,433990,429155,3409518,571126
99,628869120,602413824,1761214,668913408,100868264,634120832,707901376,117716608,665555008,675310976,596591616,1019910,641342400,29887658,638199872,655817088,35978696,725270912,678062528,120506128,700372736,715156096,120146240,727320448,659383872,1826524,1631556,123506424,784540416,127794360,115003872,768669504,117179472,684329024,1699453,2294846,43745124,765703744,31630868,32883136,722088896,31911964,121950104,796350336,153201344,131466024,820492800,113249744
1385,489843,505038,194964,7113757,1071902,5353195,8069289,1361222,10298576,353540,316722,145244,426771,211716,378366,585769,170410,558405,5529826,4111219,5974454,6535301,484235,6411694,487688,78296,168198,1600714,5961500,1404638,1618496,6938460,1815368,325177,59078,,354300,322317,225867,168090,408954,236009,1751898,6689342,2465958,1514418,5966684,1006683
1601,193087,219964,98642,219505,88134,356419,254188,351606,238107,541106,495712,91626,571236,88599,532193,504280,107631,449005,511888,129609,456757,428760,112240,458053,227996,113821,89328,159978,147222,122371,96067,311642,143451,404320,94790,102294,74640,478201,94935,96711,431648,86030,96407,494026,105123,109357,457530,106390
1403,548776,562045,126431,1015428,596529,961091,1068095,603289,873012,622424,538064,195038,894406,434634,763706,516209,364034,612260,986416,740965,1241724,820636,493349,1256748,489826,187021,148174,582181,696957,682346,691795,1074335,637559,499757,279189,202491,445850,481194,318729,321551,536413,326625,593906,926209,504873,458801,675048,504629
1236,364419,368062,204620,113718,142561,160725,156979,179789,108821,425342,403548,243133,451749,192773,342008,369082,188352,483441,78431,175358,68024,72462,172673,66366,355077,187302,194285,150623,151755,145600,164506,160400,163696,345899,188451,,190963,329182,214419,202825,313288,207882,168492,71027,176398,149026,,160808
1288,1043143,988498,,1962880,3051549,1601275,2138448,3323876,2669189,473669,382789,,689208,1076775,460067,468172,1232144,607418,1570043,1937405,2149759,2086557,1878601,1732259,991255,,,2795927,1936103,2781018,3019830,1856377,3516327,389376,,,1634032,441693,1067029,1226633,505560,1231089,2189115,2256813,1814303,1778864,1905865,1781293
4766,2273391,2347647,62118,3145867,129160,2402001,2786913,159333,3237960,1615837,1513268,102772,1736383,59576,1852224,1638347,45487,1661041,2093843,328489,2426736,2122032,496506,2286346,2321831,103111,41201,174513,2397501,162239,187210,2552466,179332,1389058,,,81560,1460176,50882,118696,1655005,103718,380772,2445869,521229,439509,2331899,666573
1289,386333,,149221,290721,279717,791496,262514,413492,290171,254297,,,,,,,,,892270,386632,997335,796922,394207,936088,83255,163384,170411,229788,,270889,416540,145124,288303,,,,,,,,43398,69702,372708,814253,447501,457204,723070,410343
389,776983936,770925184,56160340,612986880,209192144,628213888,637709440,232720656,636345024,782914752,782288576,53015472,771185280,65820344,775832512,763286144,66416568,918842624,563675456,327680416,533291136,612918016,333748192,610649792,777526784,58302752,57917324,221700032,694943616,233747536,222251072,699268992,226219728,791373760,58136264,57956364,74465056,828539904,65282656,68212504,896200832,68178944,378107872,657185536,389821728,334285824,606139776,341335776
394,70084,,,,382496,,,436413,,,,,,179050,,,187841,,,220452,,,205500,,,,,417333,,352255,403637,,479031,,,,258746,,165871,203833,,193608,282056,,190852,155674,,232817
395,26728352,25774832,84261,23250432,2938533,23581738,22987036,3943939,22517088,22000604,22726426,92724,23093516,1760176,22247544,23142292,2236685,27521018,17437376,5238483,18191564,18489084,11600679,19154208,26576706,109634,118879,3089638,22425636,2978918,3354223,23017004,4951715,23765734,98227,105218,2131733,24986312,1937247,2942233,26651276,2507911,17337272,18281348,11121431,12226346,19492192,16488154
4895,1698648704,1658142592,283308,1525492096,137787264,1538588544,1532791168,165405344,1486409856,1537177856,1585713408,307158,1523602688,597026,1528025984,1519354240,197880,1733863168,1448205952,282821888,1538388096,1481341568,385840032,1539444096,1646663936,,341865,176129936,1578486784,203466720,172585328,1612971520,163864560,1617301632,124641,174155,296011,1595308672,,590131,1683681664,238855,284867008,1553930368,366679520,445082880,1501047168,337611616
366,222171,243711,,298457,191704,332700,323657,205507,284326,260140,224897,,258870,,267114,248804,71492,246863,238980,138711,245251,221553,128980,205366,267049,,,158167,215795,163962,171797,256639,243895,251580,,,105405,238272,61313,78499,271147,99657,147542,269048,122006,114978,257183,123732
2106,10688814,10793214,,11061545,1698577,10965684,11209952,1956197,11995098,11317858,10641084,,11450178,594280,11379040,10790482,673314,11509480,10825951,1329230,11438046,10992958,1253344,11333789,10930426,,,1666237,10240326,1706905,1765652,10920307,2023819,10062959,,,863057,10544593,529022,652781,10827455,694414,1406362,12044039,1234960,1138489,11370709,1090144
30,273128,189882,,494453,388423,440857,507228,422178,572280,191615,193740,,299986,,255024,240912,,280598,540770,398780,540905,480051,225533,540213,253608,,,475297,491021,430203,408392,503360,544005,151397,,,,152735,,,216424,,279281,547102,252975,247727,540492,207874
454,6659762,7345791,,1003096,365591,2025738,2367899,388874,4553727,8689969,9111512,,6303675,,4815431,4720733,,9783756,10259893,1703821,7766294,7387306,1133153,8069572,6116973,,,548041,4617654,508398,340020,4451578,681595,9637701,,,,6995294,,,7848916,,1693379,9924968,1972390,1082889,7777333,818125
40,442167,419438,,412724,167681,398583,482959,228283,556650,218954,284093,,264324,43703,226011,182560,,357586,772322,152539,572336,550173,141545,492902,329300,,,204939,673951,189887,204131,493568,284243,339781,,,75541,301348,,122277,321233,78673,345833,821345,201321,229367,652207,198660
411,32198374,27790340,,5987566,481050,9573232,11963643,884729,6434083,32193620,37993996,,38063584,437235,38710024,23284808,846063,27434576,14307326,663186,31347108,15887380,640945,19889016,33411218,,,629573,20257396,882831,500142,18307732,829740,28771332,,,1198583,28344218,906419,395570,29161640,700713,834298,31602356,1274729,1167627,19519444,1313837
1367,115749,98767,,2791728,597630,1980336,2545355,644279,2487123,,,,48412,,,,,,4125806,936045,5071375,4282724,718927,4853056,,,,686232,2224439,622858,739338,2582573,848428,,,,78411,,96280,,,,751972,5753525,773473,794100,4860333,626995
45,,,,114905,,122323,166747,,195521,,,,,,,,,,85134,125952,78705,82225,29768,90665,,,,,99018,27763,31178,144151,39641,,,,,,,,,,48671,82067,67130,44106,89814,
46,203852,633115,,1152934,1537909,2480147,3042736,1996236,5508244,,,,,,,,,,8815905,1914394,6508006,6588842,1191110,6040008,,,,2338267,5160944,2644064,1653676,4875495,2832662,,,,,,,112439,,,2201142,9020289,1926435,1093937,6221045,944945
2,635321,889225,,336680,730275,568765,540355,967445,773062,845370,1091359,,634525,94708,444910,483095,152213,996508,1699710,1162647,1242350,1464843,907870,1296708,592374,,20362,1096408,594050,880414,1101967,689532,1243180,1054326,,,260208,783629,104686,,734221,259142,1127286,1611366,1112396,810056,1443295,965062
70,1020292,992287,,347201,34800,482334,582860,,867398,1216228,1235529,,890652,,775827,721518,,1452826,1866340,67786,1582912,1334162,,1362612,928692,,,95599,915928,,59381,912363,111754,1421779,,,,1045085,,,1269381,,,2047469,,,1520076,
301,262325,369115,,238713,,264802,304201,,190900,178638,230728,,180404,,232440,352999,,243026,169721,,154418,167265,,264802,269396,,,,144346,111349,,310216,,207659,,,,203136,,,269825,,151329,263665,,,159733,124284
390,91182,115006,,191119,190109,189701,208334,244778,219022,136277,136958,,146251,,131153,118870,,118830,140617,251105,137419,152911,76625,142208,108554,,,321017,193895,229703,201070,186018,283888,119030,,,,128984,,,168926,,104191,197537,172838,88531,169938,87566
134,119084,148997,,94282,,109165,109813,69644,101150,114547,177103,,143598,,122629,146261,,117526,188449,59641,194270,168730,,135262,163308,30372,,,203499,190935,,140637,,150268,,,,106993,,,167853,,51671,214685,,,168578,
460,1409365,1907646,,169436,467355,297216,315111,475509,617437,1953681,2259314,,1340163,,1082449,1044106,,2152191,1281126,1096464,857727,1073050,458944,959905,1227018,,,1002186,647950,894090,539921,639816,909904,2064483,,,,1486314,,,1628111,,620017,1205477,545652,473547,991871,347906
492,5799485,6665182,,4201536,1687809,3949188,4922359,2191122,6835324,9797210,9303146,,6284527,,5093952,5250215,274912,9499520,13026728,2240481,11774526,11674556,1579298,11195870,6680199,,,2367105,8179112,2018249,2153392,8143784,2546215,10492854,,,174112,7691712,,,7848379,,2535796,13779512,2022773,2403142,13395424,1382636
10,301218,332518,,476636,744482,314679,429549,952955,478376,281232,329247,,196716,249527,266266,141574,200995,369622,558175,521241,751254,421360,328073,531887,317155,,,959643,694840,802286,855975,560111,1012963,298874,,,313598,165690,305985,250776,296238,240781,516646,666751,500181,447772,551757,398313
17,4111040,4127356,,4025213,202484,3743046,3903277,249195,4047598,2455796,2543951,,2962686,,3034376,3024179,,3099869,3237859,150144,3159898,3371010,109954,3208635,4190873,,,219558,3776200,261176,152271,4122788,208232,2461078,,,,3100487,,64311,3390794,,123608,3359448,130555,141813,3666834,146876
392,,,,276506,368157,226232,283139,542301,251314,,,,,,,,,,181747,412695,194445,187615,221013,191763,,,,546850,240237,425673,500481,286926,561069,,,,,20367,,,,,310590,278094,349800,314291,218002,276358
217,81818,102750,,80569,,73800,100834,,88779,95867,96967,,117652,,80834,69202,,111802,113952,,113973,108503,29243,89299,89716,,,,209174,,,141770,,89622,,,,119895,,,92224,,27915,150691,,34271,176128,
4056,,,,188906,295678,150697,151725,380669,164731,,,,,,,,,,122404,308870,107302,132572,203101,131213,,,,339435,154635,353172,361247,177365,420126,,,,,,,,,,287535,195792,234856,210533,154123,225962
110,581402,951399,,1420808,3024358,1168716,1453019,3450247,1576244,,,,,770776,,,894820,,1195738,2004071,1226613,1436363,1945265,1080255,685728,,,3027075,1119735,3100831,3162356,1471671,3695837,,,,1215316,,757342,841449,,980002,2310269,1801833,2067162,1905095,1192126,1729956
108,1044154,832142,,,1500801,,,1648714,,665512,,,,552674,545726,766569,775312,,,685750,,,393998,,1135385,,,1673010,,1526398,1599928,,1781000,647079,,,973614,,429727,375570,777986,719343,996701,,572509,621228,,726300
5254,3775274,4199469,,3728498,119503,3637010,3497927,116632,3853087,6377741,5858673,,5089663,142998,5011468,3923620,107810,5609728,4517633,113477,4937400,4411177,95037,4327264,3026896,,,165193,3606708,112506,129605,3554286,98576,5568491,,,124455,5467148,81793,109025,4232939,115157,168124,4732419,161263,121715,4802216,115552
4161,657493376,662728832,8917892,1362742912,2978934528,1315575296,1339022720,3212902912,1523649408,329224512,336885216,3321895,416996000,1927250944,335885440,349924512,2075578752,417656672,1164644864,2197182208,1033413312,998750720,2227786496,1039885504,682357376,,,2922162944,1301616896,2878616832,3004444416,1364363648,3232032512,337095776,3164386,,2309122816,359182880,1852729344,1817562752,386976704,2123960832,2477558784,1196593536,2194614016,2136608128,1076341120,2169312768
4158,1319983,848767,,,10480633,,1816737,9179102,,,,,,4724655,,,4698971,1371653,,4304248,,819780,4918782,,,,,10348286,,10801221,11509442,,10540405,,,,7187543,,4231089,8441714,971984,6039380,7709621,,3852076,5792169,,4692750
206,1252578,987558,,1323654,,1114084,1242573,,1002018,880795,876186,,886488,,885674,1032546,58421,1169317,976375,,1183743,1144930,71976,1251036,1458041,,,93928,1718985,106065,,1437035,,1270303,25511,,,1489086,,,1139740,,,1219015,,60751,1405647,
442,96615752,87209152,1328117,149503488,96469984,136822464,150002592,120301896,123937152,75561016,74292048,1158848,81786448,20727852,85046056,87088712,23711640,103589544,122699368,49300796,130721440,125000776,51834452,134971104,99324120,1422325,1434810,94466312,178043152,112111040,106799584,173509824,112958104,87126800,1361307,1320961,30910792,118881480,22399854,27192788,100945048,26526772,66261508,150952496,63750536,71185272,145284352,55608080
4070,,,,133778,43987,110714,154526,41469,140155,,,,,,,,,,98212,40525,119245,102977,25431,107753,,,,43184,117679,54873,43123,118738,49306,,,,,,,,,,36136,146279,29401,32261,133756,23343
4394,5753770,6123045,18748,5548721,600979,6298991,6070939,662640,5422012,4743072,4950242,,4862867,207962,4865666,4575993,234786,4929254,4841628,380109,5297265,5193757,379700,5542022,6174360,,18147,647391,6059755,667376,638844,6142582,687596,4741969,,,327054,5069854,203538,266752,4939394,228975,468909,5497433,389271,369328,5997789,411415
1441,229416336,207957200,172367776,248503104,204916224,202924448,231519632,158474768,244294608,237383872,267005728,215139040,297231360,224301104,266575616,210398000,224841328,306128672,275632064,277678784,321131104,310026624,226145648,238487824,276630592,237498416,257499584,370039296,391909792,367230144,352597472,355608544,219535648,258891488,232590816,303782432,351685824,415535488,309933856,277714624,240179696,152130832,257076304,359130560,304690400,278246848,335695744,290829600
2985,986972,925631,,1517366,1688662,1456207,1511628,1297261,1818889,694189,670827,105611,845996,680704,725368,680112,812071,796352,1188654,896950,1049184,1158545,843430,1093491,768744,126439,128323,1407063,1006566,1117893,1171271,1258184,1328104,696649,,,780935,709095,490331,849453,663238,994160,1366426,1490457,801074,803438,938219,876504
4191,80199656,82373296,377144,78335752,10767093,83668040,82515504,10380412,90101648,85528208,83340520,557190,78583504,5161335,82054912,88646192,4909009,90129936,90387200,7147422,86606760,100195216,6853524,94313776,86612832,,630799,11302373,87270688,11096246,10563556,87040960,10160394,90300568,411861,465598,6631165,91540128,4423435,4649063,96360432,4863047,7307735,91349600,6601137,4995487,103784928,6630852
5810,59710112,63914640,,59673236,2889599,60493428,63503368,3177270,56661620,64461484,64187896,,66587576,1030276,64718944,63962792,1358673,64931168,65280896,1978848,65795896,66581728,1642696,70981536,67364592,,,2703654,59564016,3163862,2642215,65739980,3136784,58974320,,,1656779,63095704,995328,1190926,69765944,1246759,2226572,68878904,1796480,1515429,71107528,1615888
180,112852,124423,,8488267,1492758,6294205,7605594,1765117,8326803,56277,73427,,120583,54475,90058,76445,69976,85069,14921852,4991922,14079992,16131002,4942905,15119975,112495,,,1601704,8482505,2041591,1634213,9011651,2000414,71889,,,90837,79340,,74378,88633,72125,5802576,16365546,5659699,4711196,16417856,5045761
1131,186597,147116,,184528,243563,161826,156603,270957,177226,108787,121390,,121225,92412,107810,94594,115904,148064,124413,138482,151395,156704,147905,136714,172987,,,235862,180547,252030,237018,206269,245465,117544,,,155173,125802,72425,85245,130834,118789,216030,147273,161637,115674,177558,139590
133,1358664832,1362272384,,1228615168,260333120,1233989888,1254855680,303368128,1213226112,1371589632,1350665088,,1326513152,45620184,1340139392,1272462976,52999600,1462051328,1259951872,330460064,1286333184,1302831360,409737728,1329818368,1365030912,466551,584567,293086656,1372668160,293033472,275290304,1364323456,291948256,1362351744,,,63469976,1375578368,41665228,47407956,1395661952,56874272,385270176,1418785664,427898112,372129216,1331207680,377562144
144,213464,275570,,361603,654912,377257,292333,685397,358694,239874,,,173193,372652,124099,152691,411008,178372,275615,570252,277465,222295,395940,156882,315392,,,516441,288327,740889,515438,320803,807329,137518,129074,,421420,191371,233763,209212,137499,412364,636618,283826,610879,422426,178960,382442
1400,5479185,4553332,1089198,6939176,301189,6307525,5904836,288794,6267949,4898247,5142048,1159445,5081731,836104,4926787,5391257,809098,5909644,6066715,237129,6698516,6076398,268582,6432741,5125082,1230135,1137566,332248,6910160,354333,311118,6911285,345576,5284554,1180156,1423593,997110,5110247,791946,966678,6060604,894884,284889,7514032,216884,267321,7490599,283901
2141,,,,908710,95586,643152,805207,109604,748558,,,,,,,,,,756195,121321,885579,678749,124306,869193,,,,86028,770580,106750,92563,917033,139718,,,,,,,,,,118107,952478,165854,121353,862131,113608
469,90949,163480,,,324418,125501,119788,416211,156595,,,,,224013,,,254370,,48419,232099,,,249039,,257583,,,316676,,,404622,91735,265930,77530,,,361121,,109547,165806,,249438,,,345188,449737,,343122
450,371868000,361967104,942501,402025568,336775104,408531840,326817952,365424832,378784384,352867616,461323680,883034,362113344,56021780,377558432,391739616,54383788,386796288,220973344,555171008,198512432,213557728,535803680,199725520,369105408,644774,766574,449712928,382088256,401674912,411168288,375743264,418103200,363678784,842020,1005459,63205592,377350080,48166824,55354156,393244480,54273704,543731136,251019680,555229248,467970976,204408160,494144768
1701,433126,411397,,1881300,771758,1453682,1980640,1148439,1649081,,223004,,447971,,,,294061,288590,1919992,921188,1801257,1754371,1223040,1553635,,,,879101,1099559,942530,918156,1878710,962302,255552,,,367015,,256731,307248,276169,368753,1320315,2550085,1120552,1198731,1494758,952576
4084,,,,351727,932546,253971,306423,984384,384323,,,,,142908,,,146574,,231004,888822,267209,265029,719218,272660,,,,1147126,283056,1051366,1118005,286293,1170714,,,,185871,,158700,172283,,190483,968671,352158,769006,705489,206364,732844
