Metabolon_Metabolite_ID,HARV_21560,HARV_21561,HARV_21562,HARV_21563,HARV_21564,HARV_21565,HARV_21566,HARV_21567,HARV_21568,HARV_21569,HARV_21570,HARV_21571,HARV_21572,HARV_21573,HARV_21574,HARV_21575,HARV_21576,HARV_21577,HARV_21578,HARV_21579,HARV_21580,HARV_21581,HARV_21582,HARV_21583,HARV_21584,HARV_21585,HARV_21586,HARV_21587,HARV_21588,HARV_21589,HARV_21590,HARV_21591,HARV_21592,HARV_21593,HARV_21594,HARV_21595,HARV_21596,HARV_21597,HARV_21598,HARV_21599,HARV_21600,HARV_21601,HARV_21602,HARV_21603,HARV_21604,HARV_21605,HARV_21606,HARV_21607
446,5933305,6021464,,7117498,176146,7719790,5941878,95053,5960953,4010016,3985834,,3749895,33762,3863015,3815689,,4675172,3749661,274839,3303314,3966886,299775,4858543,6626092,,,163873,4935384,90278,132521,5684720,128030,3504368,,,,3374494,,56643,5191365,90035,217008,4078061,245849,268900,3829848,238487
171,426780,428462,,1533318,1321235,1230902,1439319,1783125,1436800,199665,174352,,263142,343656,238587,182713,447558,258164,1085384,1100430,918190,993198,954165,1033741,447885,,,1839666,1174811,1512919,1542137,1401562,2005768,181476,,,662703,238159,414478,407906,220640,497121,1196469,1268964,946356,861678,1138024,989608
444,585461,674448,,585692,373168,680950,654074,362924,569304,318053,435145,47238,485034,124181,380808,392730,,470374,389564,196816,358899,472121,124800,386831,439097,,,225026,466376,277149,212194,588200,364429,269366,,,103026,312137,70465,63320,421199,158137,141403,473846,143135,210159,415438,133201
4140,,,,974939,451538,916803,781512,1374942,1704334,,,,,,,,,,4180449,2770347,4329045,3919047,5384228,4352598,,,,778457,1417506,811983,574893,1473898,864263,,,,,,,,,,4874109,4521851,4915751,4620112,4456261,5570203
363,,,,195842,145965,200806,204858,145126,160183,,,,,,,,,,140431,237345,135299,183352,317289,179094,,,,98303,168243,182700,146502,183124,175505,,,,,,,,,,298190,163827,202423,218199,201894,253028
3059,,441417,,938324,1092217,696780,938886,1329062,1162057,,,,304852,399655,158294,,420623,,888161,1429019,660427,769495,1021511,602395,247042,,,1072760,682667,1156364,1186754,723107,1364029,,,,424794,,263519,420428,,316936,812449,718441,1036996,823547,547162,677945
1855,,,,365701,153057,463030,505262,224353,329111,,,,,,,,,,240338,372386,216567,398073,139332,460409,,,,218319,216984,201221,185423,373452,220306,,,,,,,,,77200,234762,248192,262063,139130,247002,118798
383,231294,,,1395905,595776,1012396,1059212,917143,1687106,,,,,,,,141353,,1041384,1408130,884208,842962,1149321,1023960,,,,831731,1169943,679893,710674,1220596,1224933,,,,92749,,,,,,1278644,1196869,1247715,1293264,1015174,1402125
5011,89983,76520,,103148,22811,109873,91996,30542,98105,54215,78957,,79183,,92329,,,93174,71415,,94958,98174,,97829,72791,,,32495,,25270,31223,87355,,53192,,,,71018,,,78920,,25373,79884,,,74937,28854
378,125141,136820,,3778136,934984,3052825,3668455,1251397,3751456,83746,,,84671,110812,79195,63989,132814,,2737286,1434946,3081459,2696253,687880,3022610,147414,,,1501511,3669949,1119094,1197764,3830078,1452368,54369,,,192026,77565,142047,97584,71007,163657,865983,3627283,1154463,725660,3262643,689963
354,844196,,770710,16169107,3847961,11673251,15287957,4331175,14799648,,,,714495,2471130,,,,,11923531,6425804,12110872,11952106,3179550,13402650,,665239,,6416385,14378846,4206004,3503336,15569481,4243046,2435071,,,,484050,,896180,842236,,5065446,16080933,5743469,3253657,16212674,2972023
69,410503,836761,,795477,4592014,589505,1052791,3348830,,,,,,1059038,,,943355,227419,,2930579,204333,463784,1714426,278964,471486,,,3152073,560603,5920490,3109011,628379,3546943,,,,1189031,,653876,707195,,1069641,4470018,879743,1637900,2794544,288998,2232943
4101,,,,4457845,2232681,3478144,2834648,2574144,3584918,,,,,,,,,,5128393,5213937,5479322,5894183,2596417,5494351,,,,3742161,2368090,3531397,3051206,2439199,4514572,,,,,,,87147,,40425,3571485,8784443,3128570,2067490,6607061,2144733
514,564010,577696,,2785595,2575150,2527835,2454610,2561075,2514705,357321,140397,,339239,627013,224009,299670,531669,328322,3447876,1541252,4168459,4371163,2705244,4376257,510752,,,2592304,3257232,2344727,2731647,3045459,2785534,220838,,174594,992825,339137,704327,779190,448138,792559,2416020,4448023,2202168,2807050,4933614,2288576
5884,180266,185904,181469,166769,163947,168427,181552,176550,209386,209023,190126,162497,155431,153784,116074,200514,212918,182459,207986,171640,187625,219309,177218,190656,191861,211104,196543,191761,151647,140853,222010,189871,192830,180225,171521,140408,186268,159688,138922,174113,242105,216328,202301,209248,214622,163265,207932,214113
4366,49873,46195,,60705,,41984,65757,,65364,39844,46616,,43762,,34360,29931,,37768,41890,,35737,51897,,50913,54402,,,,55769,,,66021,22126,38266,,,,34853,,,40780,,,44021,,,70523,
517,1544777,1552115,,4102347,2645160,3224203,3283688,2508450,3773713,838960,1080724,,1184669,101365,947819,1033740,163253,1246212,3384219,1203282,3316562,3412858,1549820,3822715,1525422,,,3793045,3461609,2369681,2954327,3923996,2553791,825783,,,359091,876653,354478,561951,1444905,278902,1801866,4340399,1517610,1458422,4154433,1274984
166,131241,215244,,716342,291863,620324,669895,219717,646823,117452,,,82892,,98288,95448,,112972,668691,296166,676971,625329,309504,809745,122196,,,233525,570023,223637,200071,659449,226495,121042,,,,85084,,,124651,58507,266358,828173,304213,229298,878143,341883
91,200875,219299,,1321309,265894,1081336,1156186,243022,1237836,111764,139113,,136842,,58818,125334,68516,133890,1550781,179257,1659882,1675759,222841,1661435,197231,,,190533,1496107,210294,219230,1544630,273073,143364,,,,151696,,,153056,,254485,1804101,219435,212564,1881485,196467
307,409164,,,17759628,2848748,13850117,17633464,3020496,17901368,,,,,424334,,,594617,,14908398,,15012005,13466900,2498359,14813443,618034,,,5082138,16838006,3962468,2908470,18712864,3431568,,,,,,,451343,295209,,3709407,16615351,3983108,2104378,19730948,1953715
4116,,,,,435495,,,632821,,,,,,,,,,,,104586,,,81326,,,,,650860,,475443,695454,,705771,,,,,,,,,,119381,,130013,,,73502
510,,,,1103525,,701515,724316,106425,611118,,,,,,,,,,992289,86922,1080842,1103029,,1177862,,,,111175,663139,,80651,695351,94794,,,,,,,,,,83434,1208688,73595,,961339,
533,15830976,15592773,,43245284,19526634,41731416,47345340,22709986,49749632,4358940,4577434,,8318281,1031118,4818397,5544211,1295707,7877844,32424616,5935829,28146272,33357660,4876308,34088840,16374296,121803,,21279752,46131032,21455368,21119606,48317024,21147396,4475506,,,3963674,5589847,1681316,7357080,7355130,3523811,9366411,31944624,6055832,7744298,37531984,5223779
4050,201887,,,733180,1451204,589300,779799,1686551,931641,,,,,170997,,,130368,,755444,1563324,764936,626134,1213181,762373,117260,87190,,1961602,871155,1546633,1966831,992973,2114135,,,,259181,92822,206202,258979,,201955,1464636,895244,1400541,1017135,860472,1165248
1765,475375,651778,,15993501,2943839,10175467,13566071,7135850,13255514,,,,340567,1059655,440234,,889860,,4811137,4017718,5970176,5709730,2051328,5471930,558708,,,7758543,10398583,6402590,6720207,12604602,6936010,,,387535,1204196,469926,641757,637006,,850237,2520249,10268336,2894153,2867269,5360898,1589619
1375,1567696,1398113,257576,5023937,588202,4030509,5321247,1103237,4938360,1538802,1418938,284408,1664172,577621,1612594,1647327,297512,1629994,5606142,1114646,5357171,5551248,564919,7109999,1653889,,339655,760686,4478950,993803,704664,5111089,939843,1564061,244763,,451853,1024886,648577,340308,1712926,363729,548528,6137286,719100,908999,5967650,516429
28,322966720,319947744,498179,1966339968,597936576,1915417600,1936043776,623661888,1965154816,146430128,146173120,361026,169494496,106840360,161399584,145939040,114458632,170141024,1807620736,839959680,1899509760,1921804800,730702464,1991485440,324992608,368249,545604,690414592,2130809472,727046656,619773440,2107460992,671880512,139036448,659181,501381,152535584,153005536,100601824,142491600,165227728,134124976,738116736,2153285376,821989504,716866816,1849175424,641281728
3997,193022,223839,,300505,708445,269834,286787,877451,316862,77797,72663,,117167,249333,98526,100636,298788,116958,124268,476863,111593,131692,444914,118382,200825,,,626390,193709,623093,686122,214714,849092,64780,,,368593,79488,265933,254796,77497,302714,512056,173859,429021,382997,112384,414434
379,134987,223272,,570192,588234,352665,493684,630320,540010,61627,61478,,111968,176862,87465,34943,170457,96574,214948,732870,229651,209298,371617,261237,135751,,,916764,305344,618349,646037,345913,851769,55031,,,233010,79310,158427,193365,83146,180959,447645,396953,425245,332008,238329,306664
44,152361,143819,,809499,213040,1181133,906066,257054,1265293,61548,79032,,86586,40584,76131,113784,41984,108577,580211,131856,621269,512714,154343,743222,184649,,,195700,1023348,212299,199849,755482,242454,,,,54328,90097,38584,70262,129877,51855,177485,690050,148291,131719,684224,127316
1379,275167,326569,,7744292,2860196,5653808,7657022,3498365,9751635,293094,209625,24138,288027,138536,271938,187287,147060,293269,6775067,7497534,7524714,8040956,4061462,7344492,197378,,,3969999,5390977,3316416,3304811,6147688,4450938,219763,,,143316,222609,109443,107789,250503,106704,3537408,6642930,4604693,3116949,5949991,2537893
4214,3171363,3281643,,2051508,365826,1925439,1706850,358433,2616358,3574866,3378722,,2248281,,2403816,2105462,,2207405,1762770,,1786887,1676659,245451,1567593,3534968,,,,2059724,257509,199276,1666718,314017,3289258,,,173399,2458071,,,2467425,196728,,1632167,187718,241295,1868232,
4215,1472236,1382882,,708285,,661010,593225,,828982,758264,664696,,764521,,790574,762904,,655324,603227,,492656,643355,,860609,994675,,,,635610,,,622930,,864645,,,,783539,,,728004,,,471778,,,734167,
1223,1244602,973136,1359591,1739188,1524897,1616997,1944136,1159960,2164570,1093038,870593,2103627,1018856,1416372,1006642,854093,1238177,1195811,1886063,1652621,1776017,2090065,1842247,1662109,1001551,1476543,1299965,1441231,1503369,1242865,1238513,1516174,1172904,581794,1578953,1541278,1090068,648271,1340527,1458506,951427,1445121,1902177,1497499,1550243,1700106,1864382,1417252
1448,5896141,5492215,5671373,7006610,6086444,5833276,6699355,4768027,6763183,6115136,7650531,6887709,8482870,10351281,8392742,5986558,6885594,7641237,7744716,9310458,9875428,9238489,7231913,7259198,8137539,7492530,8743011,15367573,12605757,12770794,13619066,10987258,6833169,7870190,7150058,10558871,11974785,11982555,9885123,10668124,6074980,4235322,8852618,11073304,9584802,9347122,10376105,8670974
1504,433905,432381,,555573,225275,371892,506162,223334,633389,167663,407621,,419676,,412883,388288,,506444,627856,211443,561452,712492,147203,728627,478063,65264,,232288,428325,141051,233013,507683,236567,436009,,31718,,333408,,,627646,,188615,535175,226494,,901052,212469
438,2515717888,2528643072,1983271,2262598656,463353920,2280175360,2422414336,455677856,2301738752,2626495488,2494513920,,2554440960,168474304,2627888128,2567939840,194201664,2785181696,2224882944,904233664,2087312640,2245619968,1043943168,2340092160,2516866816,,2151937,446276480,2480384000,495214688,426296832,2533834240,443654752,2568029184,1119783,1482274,227907744,2647942400,162784816,165191008,2716555264,205192976,1031938368,2361626624,1154957312,1062508544,2355503104,943919104
39,182113600,174885280,148506,189305456,66553824,198682592,185240688,74520600,178294352,181535872,181581616,103164,169988768,6217704,175540736,171585520,7174413,196996208,190168288,65164056,194873168,190608880,59727960,204173360,182427184,143761,117567,77181736,216766016,80725448,80954000,210584880,80626992,186041040,139545,116993,8828805,185982976,5788026,6221671,193444800,7449428,68427648,216555696,59636004,57177096,205014512,64428616
35,96924872,94673680,223092,36929108,18083568,42206904,46246160,19212810,46030520,97902760,96408984,209710,92946952,3888206,94259952,91573968,4587678,105375376,42066448,20660536,58185784,65578324,24774308,55461288,99401032,277467,192821,15720932,40846768,21149252,21031328,48931992,18814328,98238680,209315,228733,5574217,100152744,4335162,4403208,103499944,4646001,31710662,56588492,28596752,31776862,60662524,24438608
4102,20506430,18913048,,28883696,2051171,23408294,23832606,1203737,22012644,19809140,19772680,,18972864,,19634948,18529596,,22516584,24471350,2349820,21494768,25792096,2580315,25270788,19464556,,,2000428,26554492,2867292,2174668,27975196,1785288,20212352,95013,,,19736316,413585,,21354998,,2801700,24932860,3705654,5301008,27672892,2719044
327,135794,126866,,211725,137121,185279,228680,165542,263520,97837,84787,,184236,80382,,115747,93046,165394,240892,147614,198215,204435,189950,236434,160685,,,147441,226994,131329,140000,226749,176878,80384,,,122918,120058,88847,316164,140972,124941,198901,226692,185018,324907,251392,176012
6,10848586,10120381,,57658636,48172432,42953440,58246044,56337824,60520272,10270835,4176006,,5955311,11093380,4292386,4387681,14134398,6500335,74684288,56046488,74505032,65192400,62657368,82872440,10343773,,422679,52672244,60197900,46682036,52890868,63327744,61445988,3494792,,,17130336,4375230,11241375,14654056,6063195,14817227,64313772,83607472,56309060,52074588,79330368,50987080
4238,10528101,9605296,,9061349,569711,9086473,9127277,624504,8202613,9158941,9529611,,8660087,194575,8963127,8726759,196420,11463913,9259110,339197,11150906,10271416,355983,12017899,10566639,,,626234,11310459,643099,603485,11138770,720018,10115219,,,262141,10150181,158389,194378,10741063,217004,514527,11416475,365947,379128,11582598,370348
1418,,619545,,670237,618648,,1275438,235105,635836,1489864,1582145,232700,1583559,,1635129,704334,217632,1241061,679732,478722,,1411075,761953,1153947,,,,256444,1086902,340661,423625,1034070,209427,,300204,,169196,512506,,,1345476,210841,585164,693715,258779,304077,890930,
1849,221316960,222132880,447425,219066880,48653756,232781920,228814288,50610712,221773344,202817648,202793840,322340,210257728,14384516,205280704,200808672,16743579,220685904,229100992,29409726,245090976,230589632,27749808,241433216,221750704,523844,570801,43770796,237549024,47383432,48417584,234974048,49598148,202303760,,304244,20940434,212179152,12732031,14897503,216658432,17235264,38024496,242955504,30981834,28960978,233324624,27400838
79,697901,555432,,864804,1984641,752047,713718,2342513,577721,188809,266951,,254032,821534,213196,260771,844573,434486,472258,982497,533270,530819,1189937,742683,679083,,,1865613,810799,1949676,1971144,887342,2190077,356681,,,999776,266871,763458,722052,413823,984520,1401319,695916,1081024,1045278,554363,1142331
3321,250252,253188,,251968,28474,215139,243875,,238227,265121,275662,,220755,31117,250090,241733,,252791,221703,,245792,236992,,291213,267335,,,,273583,,,267276,,243457,,,,283983,,,278651,,,278506,,,279500,
2135,763941888,774400832,277007,695420096,84465312,712193920,707554944,86530368,705708672,777992704,751922752,228368,771055872,31963960,771953472,744293760,38755476,825127296,714046528,85047920,736557824,750334144,117158816,751531712,741663936,277803,187074,77535424,738050752,93910408,80493208,750969664,86709440,757632128,281632,228591,47914092,782393344,31107570,36190768,801737920,40268080,107693848,763238720,104165472,81822608,735946560,89571120
2136,,,,32442252,10377319,24302292,28573596,11155865,29706292,,,,,,,,,,28968266,15927709,30201464,29295348,16007069,32986930,,,,10762527,26968292,9973066,12752805,32859524,11194179,,,,,,,,,,17168516,33261132,17596212,25099464,29937574,14904480
1394,1311590,1157490,,1119381,230624,1187161,1148356,126409,1091672,1831544,1665277,65642,1784106,,1709034,1628846,71445,1693628,1407797,,1572217,1532950,,1556279,1227359,88748,,144746,1075002,121482,141106,1037832,137778,1535759,,48980,74035,1496746,79285,,1667813,60696,118864,1616865,97161,81450,1472596,84454
1373,8041372,6434611,101545,19171834,2228895,17367794,23739720,4206896,19172176,13829122,12338475,,15044567,,15241424,14757635,254996,13596352,24722512,3934656,25969204,24973236,1515629,38286340,9119181,,,3127168,19578786,2868083,3322486,24272730,5292861,12213242,116966,,452541,10998428,249496,231856,15958201,416457,2148726,27864184,2960683,1809952,27827896,1408213
447,731378,841648,242286,3817124,6595559,2872279,7879740,6737081,5266287,468797,1166120,223274,639954,3410212,601085,613231,3415633,550831,6907399,10127248,17475944,16587410,11995185,8106521,707193,243676,251524,7762628,4309512,6825231,8084998,6642909,7200991,695949,259287,253612,4260306,531775,4518643,3916178,697090,3733778,9813932,10361252,20535920,16085258,8266669,8429892
482,3554779,3300973,229864,88170128,119048696,67263960,64640448,134952720,79202848,1291259,1564104,233702,2395169,19696570,1315507,1363798,20509740,2247657,75319464,81603064,87649632,58233680,95937360,65503664,3552607,224033,206530,132642872,60524140,126567872,133229528,65112036,134451088,1382376,257131,246434,26970996,1602941,18129808,21650868,1742299,22224880,116956632,120312648,101863592,85308272,72251280,93261208
483,12559024,11955790,512469,13819044,39038268,12940908,14051099,43229848,16104757,5207425,5200494,421169,7104415,15691105,5174284,5270940,17141016,7838219,8088653,23667516,7606030,7830456,23729518,7887655,12671426,396491,409865,40515800,13992161,38607720,42306028,14460874,47060152,5424119,412706,399305,22241756,5751833,13928396,17365478,7180971,18437592,32221578,9977659,23536404,21260132,8934214,23615486
410,20819724,18062544,,14870154,718550,14401094,14520572,1142969,10350397,26885156,33380008,,27050888,391040,29529602,18266516,755969,23214564,18496388,678258,32132364,19832288,670346,22388642,23279744,,,841191,25899132,1187154,788846,20231616,1289716,24776106,,,1189468,25180524,609496,417741,23608928,695963,984841,32636562,1270457,1054296,26532548,1302837
416,3088173,2898244,,1579489,,1753454,1763038,,1942691,787495,612196,,1178571,,1281295,1406807,,1222063,671687,,693082,582277,,710995,2956190,,,,1583307,,,1743740,,844801,,,,1098779,,,1190061,,,676649,,,858529,
423,2787152,2542583,,227401,114697,288639,245401,84423,196612,2022873,2257051,,1782371,51938,2087008,2023535,87206,2313858,247105,105276,335393,344277,175189,352380,2751265,,,68854,221435,94618,79025,272024,110789,2195241,,,88366,2206935,70534,72728,2472315,64600,144823,313989,201674,184606,360947,232499
527,2237082,1992835,,,104108,,,147613,,1759043,1903594,,1828768,,1958704,1912436,,2265054,,80487,,,153219,,2375733,,,182691,,119164,181601,60333,208119,1731799,,,,2013451,,,2312621,,124071,,130190,74351,,178979
531,2704771,2466150,,11929737,1505832,12810585,11816962,2347069,10217352,900676,896677,,975456,,960598,1002210,,1209061,4842060,2141025,5235187,5776199,1649416,6314683,2799005,,,1921797,15882960,2503534,2009984,16674392,2394960,960591,,,,1216106,,,1225788,,2326029,5730920,2577289,2261042,5443334,1806522
